product_name,ingredients_text,ingredients_tags,ingredients_analysis_tags,labels_tags,allergens_tags,categories_tags,nutriscore_grade,quantity,brands,index,ingredients_main_text_only,ingredients_tags_fr
Creme entiere,"[{'lang': 'main', 'text': 'Crème de lait de vache, protéines de lait, stabilisant : E407'}
 {'lang': 'fr', 'text': 'Crème de lait de vache, <span class=""allergen"">protéines de lait</span>, stabilisant : E407'}
 {'lang': 'fr', 'text': 'Crème de lait de vache, protéines de lait, stabilisant : E407'}]","['fr:creme-de-lait-de-vache' 'en:milk-proteins' 'en:protein'
 'en:animal-protein' 'en:stabiliser' 'en:e407']","['en:palm-oil-content-unknown' 'en:non-vegan'
 'en:vegetarian-status-unknown']",[],['en:milk'],"['en:dairies' 'en:creams' 'en:uht-creams' 'en:unfermented-creams'
 'fr:cremes-entieres']",d,,"Lactel, Président",3,crme de lait de vache protines de lait stabilisant e,creme de lait de vache
Boite ovale fleur d'oranger,"[{'lang': 'main', 'text': ""Sucre, arôme naturel de néroli, graine d'anis vert (0,2%), extrait de néroli""}
 {'lang': 'de', 'text': 'Zucker'}
 {'lang': 'fr', 'text': ""Sucre, arôme naturel de néroli, graine d'anis vert (0,2%), extrait de néroli""}
 {'lang': 'de', 'text': 'Zucker'}
 {'lang': 'fr', 'text': ""Sucre, arôme naturel de néroli, graine d'anis vert (0,2%), extrait de néroli""}]","['en:sugar' 'en:added-sugar' 'en:disaccharide'
 'fr:arome-naturel-de-neroli' 'en:aniseed' 'en:seed'
 'fr:extrait-de-neroli']",['en:palm-oil-content-unknown' 'en:vegan' 'en:vegetarian'],['en:vegetarian' 'en:vegan' 'en:eve-vegan'],['en:none'],"['en:snacks' 'en:sweet-snacks' 'en:confectioneries' 'en:frozen-foods'
 'en:candies']",e,50 g,Les Anis De Flavigny,4,sucre arme naturel de nroli graine danis vert extrait de nroli,arome naturel de neroli extrait de neroli
Moutarde à l'ancienne,"[{'lang': 'main', 'text': ""Eau, vinaigre d'alcool, graines de _moutarde_, téguments de graines de _moutarde_, sel, acidifiant : acide citrique, arômes, antioxydant : di_sulfite_ de potassium, curcuma.""}
 {'lang': 'fr', 'text': ""Eau, vinaigre d'alcool, graines de _moutarde_, téguments de graines de _moutarde_, sel, acidifiant : acide citrique, arômes, antioxydant : di_sulfite_ de potassium, curcuma.""}
 {'lang': 'nl', 'text': ""Water, alcoholazijn, _mosterd_zaad, zaadhuid van _mosterd_, zout, voedingszuur: citroenzuur, aroma's, antioxidant: kaliumdi_sulfiet_, kurkuma.""}
 {'lang': 'nl', 'text': 'Water, alcoholazijn,<span class=""allergen""> _mosterd</span>_zaad, zaadhuid van <span class=""allergen"">mosterd</span>, zout, voedingszuur: citroenzuur, aroma\'s, antioxidant: kaliumdi_<span class=""allergen"">sulfiet</span>_, kurkuma.'}
 {'lang': 'fr', 'text': 'Eau, vinaigre d\'alcool, graines de <span class=""allergen"">moutarde</span>, téguments de graines de <span class=""allergen"">moutarde</span>, sel, acidifiant : acide citrique, arômes, antioxydant : di_<span class=""allergen"">sulfite</span>_ de potassium, curcuma.'}]","['en:water' 'en:alcohol-vinegar' 'en:vinegar' 'en:mustard-seed'
 'en:condiment' 'en:mustard' 'en:spice'
 'fr:teguments-de-graines-de-moutarde' 'en:salt' 'en:acid' 'en:flavouring'
 'en:antioxidant' 'en:turmeric' 'en:e330' 'en:e224']","['en:palm-oil-free' 'en:vegan-status-unknown'
 'en:vegetarian-status-unknown']","['en:distributor-labels' 'en:carrefour-quality' 'en:green-dot'
 'en:made-in-france']",['en:mustard' 'en:sulphur-dioxide-and-sulphites'],"['en:condiments' 'en:sauces' 'en:mustards' 'en:old-style-mustards'
 'en:groceries']",d,350 g,Carrefour,5,eau vinaigre dalcool graines de _moutarde_ tguments de graines de _moutarde_ sel acidifiant acide citrique armes antioxydant di_sulfite_ de potassium curcuma,teguments de graines de moutarde
Shehrazed 350g,"[{'lang': 'main', 'text': ""Pâte de sésame - Sucre - Sirop de glucose - Amandes (5%) - Monoglycéride : Emulsifiant (E471) - Extrait @ de racine pour Halawa - Acide citrique : Régulateur d'acidité (E330) - Vanilline (Arôme artificiel).""}
 {'lang': 'fr', 'text': 'Pâte de sésame - Sucre - Sirop de glucose - <span class=""allergen"">Amandes</span> (5%) - Monoglycéride : Emulsifiant (E471) - Extrait @ de racine pour Halawa - Acide citrique : Régulateur d\'acidité (E330) - Vanilline (Arôme artificiel).'}
 {'lang': 'fr', 'text': ""Pâte de sésame - Sucre - Sirop de glucose - Amandes (5%) - Monoglycéride : Emulsifiant (E471) - Extrait @ de racine pour Halawa - Acide citrique : Régulateur d'acidité (E330) - Vanilline (Arôme artificiel).""}]","['en:sesame-paste' 'en:seed' 'en:sesame' 'en:sugar' 'en:added-sugar'
 'en:disaccharide' 'en:glucose-syrup' 'en:monosaccharide' 'en:glucose'
 'en:almond' 'en:nut' 'en:tree-nut' 'fr:monoglycerides'
 'fr:extrait-de-racine-pour-halawa' 'en:e330' 'en:vanillin'
 'en:emulsifier' 'en:acidity-regulator' 'en:artificial-flavouring'
 'en:flavouring' 'en:e471']","['en:may-contain-palm-oil' 'en:vegan-status-unknown'
 'en:vegetarian-status-unknown']",['en:no-colorings'],['en:nuts' 'en:sesame-seeds'],"['en:snacks' 'en:sweet-snacks' 'en:confectioneries' 'en:halva'
 'en:sesame-halva']",e,350,Sherazad,9,pte de ssame sucre sirop de glucose amandes monoglycride emulsifiant e extrait de racine pour halawa acide citrique rgulateur dacidit e vanilline arme artificiel,monoglycerides extrait de racine pour halawa
Choco Flakes 350G Breakfast Cerelas,"[{'lang': 'main', 'text': 'Biscuit (farine blé, es specetàes (tcurnescl haut oléique, palme), sirop de glucose et sfiant (lécithine), sel, poudre à lever (carbonates de sodium et cac;um), vitamines et sels minéraux (A, D/ E, thiamine, riboflavine, riieciz acide oantothéni ue, carbonate de calcium et fer élémentaire), colorant: Él jod (suâites), agent de traitement de la farine (disulfite di sodium)), pépites de chocolat (sucre, pâte de cacao 48%, beurre de cacao émulsifiant (lécithine de soja)/ arôme)/ riz soufflé et chccolêté Îructose, extrait de soja) et arômes). Peut contenir fruits à coque, lait, oeufs,'}
 {'lang': 'fr', 'text': 'Biscuit (farine blé, es specetàes (tcurnescl haut oléique, palme), sirop de glucose et sfiant (lécithine), sel, poudre à lever (carbonates de sodium et cac;um), vitamines et sels minéraux (A, D/ E, thiamine, riboflavine, riieciz acide oantothéni ue, carbonate de calcium et fer élémentaire), colorant: Él jod (suâites), agent de traitement de la farine (disulfite di sodium)), pépites de chocolat (sucre, pâte de cacao 48%, beurre de cacao émulsifiant (lécithine de soja)/ arôme)/ riz soufflé et chccolêté Îructose, extrait de soja) et arômes). Peut contenir fruits à coque, lait, oeufs,'}
 {'lang': 'fr', 'text': 'Biscuit (farine <span class=""allergen"">blé</span>, es specetàes (tcurnescl haut oléique, palme), sirop de glucose et sfiant (lécithine), sel, poudre à lever (carbonates de sodium et cac;um), vitamines et sels minéraux (A, D/ E, thiamine, riboflavine, riieciz acide oantothéni ue, carbonate de calcium et fer élémentaire), colorant: Él jod (suâites), agent de traitement de la farine (disulfite di sodium)), pépites de chocolat (sucre, pâte de cacao 48%, beurre de cacao émulsifiant (<span class=""allergen"">lécithine de soja</span>)/ arôme)/ riz soufflé et chccolêté Îructose, extrait de <span class=""allergen"">soja</span>) et arômes). Peut contenir <span class=""allergen"">fruits à coque</span>, <span class=""allergen"">lait</span>, <span class=""allergen"">oeufs</span>,'}]","['en:biscuit' 'en:chocolate-chunk' 'en:chocolate' 'en:puffed-rice'
 'en:rice' 'fr:chccolete-iructose' 'en:soya' 'en:flavouring'
 'en:wheat-flour' 'en:cereal' 'en:flour' 'en:wheat' 'en:cereal-flour'
 'fr:es-specetaes' 'en:glucose-syrup' 'en:added-sugar' 'en:monosaccharide'
 'en:glucose' 'fr:sfiant' 'en:salt' 'en:raising-agent' 'en:vitamins'
 'fr:e' 'en:thiamin' 'en:e101' 'fr:riieciz-acide-oantotheni-ue' 'en:e170i'
 'en:e170' 'en:elemental-iron' 'en:minerals' 'en:iron' 'en:colour'
 'en:flour-treatment-agent' 'en:sugar' 'en:disaccharide' 'en:cocoa-paste'
 'en:plant' 'en:cocoa' 'fr:beurre-de-cacao-emulsifiant'
 'fr:tcurnescl-haut-oleique' 'en:palm' 'en:oil-and-fat'
 'en:vegetable-oil-and-fat' 'en:palm-oil-and-fat' 'en:palm-oil' 'en:e322i'
 'en:e322' 'en:e500' 'fr:cac' 'fr:um' 'fr:el-jod' 'fr:disulfite-di-sodium'
 'en:soya-lecithin' 'fr:suaites']",['en:palm-oil' 'en:vegan-status-unknown' 'en:vegetarian-status-unknown'],[],['en:gluten' 'en:soybeans'],"['en:plant-based-foods-and-beverages' 'en:plant-based-foods'
 'en:breakfasts' 'en:cereals-and-potatoes' 'en:cereals-and-their-products'
 'en:breakfast-cereals' 'en:extruded-cereals' 'en:filled-cereals']",e,350 g,Cuétara,14,biscuit farine bl es specetes tcurnescl haut olique palme sirop de glucose et sfiant lcithine sel poudre lever carbonates de sodium et cacum vitamines et sels minraux a d e thiamine riboflavine riieciz acide oantothni ue carbonate de calcium et fer lmentaire colorant l jod suites agent de traitement de la farine disulfite di sodium ppites de chocolat sucre pte de cacao beurre de cacao mulsifiant lcithine de soja arme riz souffl et chccolt ructose extrait de soja et armes peut contenir fruits coque lait oeufs,chccolete iructose es specetaes sfiant e riieciz acide oantotheni ue beurre de cacao emulsifiant tcurnescl haut oleique cac um el jod disulfite di sodium suaites
Sidi Ali,"[{'lang': 'main', 'text': 'Sodium 26 Calcium 12 Magnésium 9 Potassium 3 Bicarbonates 104 Sulfates 42 Chlorures 14 Nitrates 0 صوديوم كالسيوم تغازيوم بوتاسيوم میکرونات سلفات كلوري نترات'}
 {'lang': 'en', 'text': 'Sodium, Calcium, Magnésium, Potassium, Bicarbonates, Sulfates, Chlorures.'}
 {'lang': 'ar', 'text': 'صوديوم، كالسيوم، مغنزيوم، بوتاسيوم، بيكاربونات، سلفات، كلورير،'}
 {'lang': 'ar', 'text': 'صوديوم، كالسيوم، مغنزيوم، بوتاسيوم، بيكاربونات، سلفات، كلورير،'}
 {'lang': 'fr', 'text': 'Sodium 26 Calcium 12 Magnésium 9 Potassium 3 Bicarbonates 104 Sulfates 42 Chlorures 14 Nitrates 0 صوديوم كالسيوم تغازيوم بوتاسيوم میکرونات سلفات كلوري نترات'}
 {'lang': 'en', 'text': 'Sodium, Calcium, Magnésium, Potassium, Bicarbonates, Sulfates, Chlorures.'}
 {'lang': 'fr', 'text': 'Sodium 26 Calcium 12 Magnésium 9 Potassium 3 Bicarbonates 104 Sulfates 42 Chlorures 14 Nitrates 0 صوديوم كالسيوم تغازيوم بوتاسيوم میکرونات سلفات كلوري نترات'}]",['fr:sodium-26-calcium-12-magnesium-9-potassium-3-bicarbonates-104-sulfates-42-chlorures-14-nitrates-0-صوديوم-كالسيوم-تغازيوم-بوتاسيوم-میکرونات-سلفات-كلوري-نترات'],"['en:palm-oil-content-unknown' 'en:vegan-status-unknown'
 'en:vegetarian-status-unknown']",['en:green-dot'],[],"['en:beverages-and-beverages-preparations' 'en:beverages' 'en:waters'
 'en:spring-waters' 'en:mineral-waters' 'en:natural-mineral-waters']",a,2 L,sidi ali,15,sodium calcium magnsium potassium bicarbonates sulfates chlorures nitrates ,sodium calcium magnesium potassium bicarbonates sulfates chlorures nitrates 
Lessieur,"[{'lang': 'main', 'text': ""INGREDIENTS /ai Huile de colza ((0%), eau, vinaigre, jaune d'euf frais (5%), sel, sucre, amidon modifié acidifiant:acidé citrique, épaississant: gomme xanthane, colorants : uteine et extrạit đe paprika, antioxydant: E385, arômes (dont arome auçle. n0/:1.&lt;l &quot;u""}
 {'lang': 'fr', 'text': 'INGREDIENTS /ai Huile de colza ((0%), eau, vinaigre, jaune d\'euf frais (5%), sel, sucre, amidon modifié acidifiant:acidé citrique, épaississant: gomme xanthane, colorants : uteine et extrạit đe paprika, antioxydant: E385, arômes (dont arome auçle. n0/:1.&lt;l ""u'}
 {'lang': 'fr', 'text': ""INGREDIENTS /ai Huile de colza ((0%), eau, vinaigre, jaune d'euf frais (5%), sel, sucre, amidon modifié acidifiant:acidé citrique, épaississant: gomme xanthane, colorants : uteine et extrạit đe paprika, antioxydant: E385, arômes (dont arome auçle. n0/:1.&lt;l &quot;u""}
 {'lang': 'en', 'text': ""Huile de colza (70%), eau, vinaigre jaune d'oeuf frais (5%), sel, sucre, amidon modifié,acidifiant: acide citrique, épaississant: gomme xanthane, colorants luteine et extrait de paprika, antioxydant: E385, aromes (dont arome artificiel).""}
 {'lang': 'en', 'text': ""Huile de colza (70%), eau, vinaigre jaune d'oeuf frais (5%), sel, sucre, amidon modifié,acidifiant: acide citrique, épaississant: gomme xanthane, colorants luteine et extrait de paprika, antioxydant: E385, aromes (dont arome artificiel).""}]","['fr:ingredients' 'fr:ai-huile-de-colza' 'en:water' 'en:vinegar'
 'fr:jaune-d-euf-frais' 'en:salt' 'en:sugar' 'en:added-sugar'
 'en:disaccharide' 'fr:amidon-modifie-acidifiant' 'en:thickener'
 'en:colour' 'en:antioxidant' 'en:flavouring' 'fr:dont-arome-aucle'
 'fr:n0' 'en:e330' 'en:e415' 'fr:uteine-et-extrạit-đe-paprika' 'en:e385'
 'fr:1-l-u']","['en:palm-oil-content-unknown' 'en:vegan-status-unknown'
 'en:vegetarian-status-unknown']",[],[],['en:condiments' 'en:sauces' 'en:mayonnaises'],e,,Lesieur,17,ingredients ai huile de colza eau vinaigre jaune deuf frais sel sucre amidon modifi acidifiantacid citrique paississant gomme xanthane colorants uteine et extrit e paprika antioxydant e armes dont arome aule nltl quotu,ingredients ai huile de colza jaune d euf frais amidon modifie acidifiant dont arome aucle n uteine et extrit e paprika l u
jibbi vanille,"[{'lang': 'main', 'text': '30% des besoins quotidiens en vitamines A D3, fer.iode et calcium Tous les bienfaits du bon lait Centrale, enrichi en nutriments essentiels pour accompagner votre enfant dans son développement et sa croissance au quotidien ! *1brique = 200 ml %3D سنطرال جيبي : كل منافع حليب سنطرال، مقوى بالعناصر المغذية الأساسية لمرافقة نمو وتطور طفلك في حياته اليومية. حليب مقوى، 30 % من الحجيات اليومية )الفيتامين ) A و D(، الحديد، اليود والكالسيوم( بالنسبة ل 200مل. **'}
 {'lang': 'fr', 'text': '30% des besoins quotidiens en vitamines A D3, fer.iode et calcium Tous les bienfaits du bon lait Centrale, enrichi en nutriments essentiels pour accompagner votre enfant dans son développement et sa croissance au quotidien ! *1brique = 200 ml %3D سنطرال جيبي : كل منافع حليب سنطرال، مقوى بالعناصر المغذية الأساسية لمرافقة نمو وتطور طفلك في حياته اليومية. حليب مقوى، 30 % من الحجيات اليومية )الفيتامين ) A و D(، الحديد، اليود والكالسيوم( بالنسبة ل 200مل. **'}
 {'lang': 'fr', 'text': '30% des besoins quotidiens en vitamines A D3, fer.iode et calcium Tous les bienfaits du bon lait Centrale, enrichi en nutriments essentiels pour accompagner votre enfant dans son développement et sa croissance au quotidien ! *1brique = 200 ml %3D سنطرال جيبي : كل منافع حليب سنطرال، مقوى بالعناصر المغذية الأساسية لمرافقة نمو وتطور طفلك في حياته اليومية. حليب مقوى، 30 % من الحجيات اليومية )الفيتامين ) A و D(، الحديد، اليود والكالسيوم( بالنسبة ل 200مل. **'}]","['fr:besoins-quotidiens-en-vitamines' 'fr:a-d3'
 'fr:fer-iode-et-calcium-tous-les-bienfaits-du-bon-lait-centrale'
 'fr:enrichi-en-nutriments-essentiels-pour-accompagner-votre-enfant-dans-son-developpement-et-sa-croissance-au-quotidien-1brique-200-ml-3d-سنطرال-جيبي'
 'fr:مقوى-بالعناصر-المغذية-الأساسية-لمرافقة-نمو-وتطور-طفلك-في-حياته-اليومية'
 'fr:حليب-مقوى' 'fr:من-الحجيات-اليومية-الفيتامين-a-و-d' 'fr:الحديد'
 'fr:اليود-والكالسيوم' 'fr:بالنسبة-ل-200مل' 'fr:كل-منافع-حليب-سنطرال']","['en:palm-oil-content-unknown' 'en:vegan-status-unknown'
 'en:vegetarian-status-unknown']",,[],['en:dairies' 'en:milks-liquid-and-powder' 'en:milks'],b,200ml,jibbi,19, des besoins quotidiens en vitamines a d feriode et calcium tous les bienfaits du bon lait centrale enrichi en nutriments essentiels pour accompagner votre enfant dans son dveloppement et sa croissance au quotidien brique ml d a d ,besoins quotidiens en vitamines a d fer iode et calcium tous les bienfaits du bon lait centrale enrichi en nutriments essentiels pour accompagner votre enfant dans son developpement et sa croissance au quotidien brique ml d a d 
Douceur de lait,"[{'lang': 'main', 'text': 'lait frais partiellement écrémé, poudre de lait écrémé, sucre, arómes, ferments loctiques Matière grasse: 1,4% - Poids net: 110g تاريخ نهاية الصلاحية أنظر أعلى الغظاء 30-laiyG. Agrément sanitaire ONSSA: LPL 26.52.18 6111242 881549&quot;'}
 {'lang': 'fr', 'text': 'lait frais partiellement écrémé, poudre de lait écrémé, sucre, arómes, ferments loctiques Matière grasse: 1,4% - Poids net: 110g تاريخ نهاية الصلاحية أنظر أعلى الغظاء 30-laiyG. Agrément sanitaire ONSSA: LPL 26.52.18 6111242 881549""'}
 {'lang': 'fr', 'text': 'lait frais partiellement écrémé, poudre de lait écrémé, sucre, arómes, ferments loctiques Matière grasse: 1,4% - Poids net: 110g تاريخ نهاية الصلاحية أنظر أعلى الغظاء 30-laiyG. Agrément sanitaire ONSSA: LPL 26.52.18 6111242 881549&quot;'}]","['fr:lait-frais-partiellement-ecreme' 'en:skimmed-milk-powder' 'en:dairy'
 'en:milk-powder' 'en:sugar' 'en:added-sugar' 'en:disaccharide'
 'en:flavouring' 'fr:ferments-loctiques-matiere-grasse' 'fr:poids-net'
 'fr:lpl-26-52-18-6111242-881549'
 'fr:تاريخ-نهاية-الصلاحية-أنظر-أعلى-الغظاء-30-laiyg'
 'fr:agrement-sanitaire-onssa']","['en:palm-oil-content-unknown' 'en:non-vegan'
 'en:vegetarian-status-unknown']",[],['en:milk'],[],unknown,110 g,,20,lait frais partiellement crm poudre de lait crm sucre armes ferments loctiques matire grasse poids net g laiyg agrment sanitaire onssa lpl quot,lait frais partiellement ecreme ferments loctiques matiere grasse poids net lpl laiyg agrement sanitaire onssa
filet de truite de l'atlas,"[{'lang': 'main', 'text': 'Filets de truite, sel et sucre Agrément sanitaire : 2190'}
 {'lang': 'fr', 'text': 'Filets de truite, sel et sucre Agrément sanitaire : 2190'}
 {'lang': 'fr', 'text': 'Filets de truite, sel et sucre Agrément sanitaire : 2190'}]",['fr:filets-de-truite' 'en:salt' 'fr:sucre-agrement-sanitaire' 'fr:2190'],"['en:palm-oil-content-unknown' 'en:vegan-status-unknown'
 'en:vegetarian-status-unknown']",['en:no-soy'],[],"['en:seafood' 'en:fishes-and-their-products' 'en:fishes' 'en:fatty-fishes'
 'en:smoked-fishes' 'en:trouts' 'en:smoked-trouts' 'fr:filets-de-truite']",unknown,100 g,les domaines,34,filets de truite sel et sucre agrment sanitaire ,filets de truite sucre agrement sanitaire 
